date/time: ,31/05/2023,08:20 p.m.
Run 1

time	Velocity 2
0,000000	8,310075E-1
0,016667	8,312104E-1
0,033333	8,315574E-1
0,050000	8,316855E-1
0,066667	8,314827E-1
0,083333	8,313065E-1
0,100000	8,327105E-1
0,116667	8,306498E-1
0,133333	8,285838E-1
0,150000	8,278044E-1
0,166667	8,265072E-1
0,183333	8,252206E-1
0,200000	8,235176E-1
0,216667	8,224125E-1
0,233333	8,207683E-1
0,250000	8,190279E-1
0,266667	8,151255E-1
0,283333	8,130969E-1
0,300000	8,113565E-1
0,316667	8,091517E-1
0,333333	8,067387E-1
0,350000	8,043844E-1
0,366667	8,019874E-1
0,383333	7,997773E-1
0,400000	7,971614E-1
0,416667	7,948072E-1
0,433333	7,903922E-1
0,450000	7,882248E-1
0,466667	7,861268E-1
0,483333	7,839060E-1
0,500000	7,818506E-1
0,516667	7,798647E-1
0,533333	7,776652E-1
0,550000	7,751028E-1
0,566667	7,721079E-1
0,583333	7,700419E-1
0,600000	7,685418E-1
0,616667	7,669829E-1
0,633333	7,652639E-1
0,650000	7,640681E-1
0,666667	7,623171E-1
0,683333	7,614789E-1
0,700000	7,604272E-1
0,716667	7,587670E-1
0,733333	7,583879E-1
0,750000	7,574537E-1
0,766667	7,565889E-1
0,783333	7,558094E-1
0,800000	7,557133E-1
0,816667	7,559162E-1
0,833333	7,558895E-1
0,850000	7,562739E-1
0,866667	7,570266E-1
0,883333	7,579181E-1
0,900000	7,586068E-1
0,916667	7,594236E-1
0,933333	7,608116E-1
0,950000	7,618740E-1
0,966667	7,631979E-1
0,983333	7,648422E-1
1,000000	7,665612E-1
1,016667	7,685097E-1
1,033333	7,700579E-1
1,050000	7,719370E-1
1,066667	7,739123E-1
1,083333	7,757007E-1
1,100000	7,775638E-1
1,116667	7,792241E-1
1,133333	7,820482E-1
1,150000	7,841142E-1
1,166667	7,859773E-1
1,183333	7,885077E-1
1,200000	7,903976E-1
1,216667	7,927198E-1
1,233333	7,947591E-1
1,250000	7,964728E-1
1,266667	7,993609E-1
1,283333	8,014269E-1
1,300000	8,034021E-1
1,316667	8,051585E-1
1,333333	8,051585E-1
1,350000	8,051585E-1
1,366667	8,111376E-1
1,383333	8,125790E-1
1,400000	8,138923E-1
1,416667	8,138923E-1
1,433333	8,138923E-1
1,450000	8,178268E-1
1,466667	8,186596E-1
1,483333	8,195885E-1
1,500000	8,203946E-1
1,516667	8,207523E-1
1,533333	8,214303E-1
1,550000	8,217559E-1
1,566667	8,219321E-1
1,583333	8,219801E-1
1,600000	8,216972E-1
1,616667	8,212327E-1
1,633333	8,208110E-1
1,650000	8,205921E-1
1,666667	8,198768E-1
1,683333	8,190279E-1
1,700000	8,179602E-1
1,716667	8,171701E-1
1,733333	8,160330E-1
1,750000	8,164921E-1
1,766667	8,132250E-1
1,783333	8,133424E-1
1,800000	8,102942E-1
1,816667	8,090877E-1
1,833333	8,075075E-1
1,850000	8,051905E-1
1,866667	8,036477E-1
1,883333	8,016565E-1
1,900000	7,996172E-1
1,916667	7,982345E-1
1,933333	7,960137E-1
1,950000	7,942520E-1
1,966667	7,920365E-1
1,983333	7,903549E-1
2,000000	7,888494E-1
2,016667	7,864097E-1
2,033333	7,847388E-1
2,050000	7,829984E-1
2,066667	7,812207E-1
2,083333	7,800142E-1
2,100000	7,780870E-1
2,116667	7,766723E-1
2,133333	7,754284E-1
2,150000	7,737468E-1
2,166667	7,725990E-1
2,183333	7,714939E-1
2,200000	7,703248E-1
2,216667	7,694546E-1
2,233333	7,684029E-1
2,250000	7,676983E-1
2,266667	7,669936E-1
2,283333	7,664597E-1
2,300000	7,663903E-1
2,316667	7,658992E-1
2,333333	7,657817E-1
2,350000	7,656643E-1
2,366667	7,657817E-1
2,383333	7,662142E-1
2,400000	7,664277E-1
2,416667	7,666733E-1
2,433333	7,666733E-1
2,450000	7,666733E-1
2,466667	7,686912E-1
2,483333	7,692731E-1
2,500000	7,701647E-1
2,516667	7,713124E-1
2,533333	7,722467E-1
2,550000	7,732877E-1
2,566667	7,745529E-1
2,583333	7,757167E-1
2,600000	7,771367E-1
2,616667	7,785354E-1
2,633333	7,801316E-1
2,650000	7,815837E-1
2,666667	7,828596E-1
2,683333	7,844825E-1
2,700000	7,862282E-1
2,716667	7,877764E-1
2,733333	7,894046E-1
2,750000	7,908994E-1
2,766667	7,925276E-1
2,783333	7,942253E-1
2,800000	7,958482E-1
2,816667	7,979462E-1
2,833333	7,993929E-1
2,850000	8,006795E-1
2,866667	8,024519E-1
2,883333	8,037598E-1
2,900000	8,050571E-1
2,916667	8,062636E-1
2,933333	8,072672E-1
2,950000	8,087246E-1
2,966667	8,096962E-1
2,983333	8,102888E-1
3,000000	8,111643E-1
3,016667	8,120345E-1
3,033333	8,126004E-1
3,050000	8,130008E-1
3,066667	8,133851E-1
3,083333	8,136414E-1
3,100000	8,137855E-1
3,116667	8,140097E-1
3,133333	8,138282E-1
3,150000	8,135933E-1
3,166667	8,131769E-1
3,183333	8,130061E-1
3,200000	8,124829E-1
3,216667	8,121786E-1
3,233333	8,113779E-1
3,250000	8,105237E-1
3,266667	8,098938E-1
3,283333	8,088901E-1
3,300000	8,080787E-1
3,316667	8,068722E-1
3,333333	8,059006E-1
3,350000	8,048969E-1
3,366667	8,033968E-1
3,383333	8,021903E-1
3,400000	8,010105E-1
3,416667	7,998093E-1
3,433333	7,987416E-1
3,450000	7,974284E-1
3,466667	7,962325E-1
