date/time: ,31/05/2023,08:22 p.m.
Run 1

time	Velocity 2
0,000000	8,274521E-1
0,016667	8,262082E-1
0,033333	8,245586E-1
0,050000	8,238006E-1
0,066667	8,203199E-1
0,083333	8,178428E-1
0,100000	8,152696E-1
0,116667	8,129954E-1
0,133333	8,100913E-1
0,150000	8,077050E-1
0,166667	8,047421E-1
0,183333	8,019501E-1
0,200000	7,981170E-1
0,216667	7,951275E-1
0,233333	7,920151E-1
0,250000	7,886519E-1
0,266667	7,858919E-1
0,283333	7,827528E-1
0,300000	7,802384E-1
0,316667	7,777346E-1
0,333333	7,750280E-1
0,350000	7,726364E-1
0,366667	7,703835E-1
0,383333	7,683335E-1
0,400000	7,663263E-1
0,416667	7,645005E-1
0,433333	7,628562E-1
0,450000	7,614042E-1
0,466667	7,604432E-1
0,483333	7,594610E-1
0,500000	7,589431E-1
0,516667	7,587029E-1
0,533333	7,588524E-1
0,550000	7,589378E-1
0,566667	7,591300E-1
0,583333	7,598080E-1
0,600000	7,609237E-1
0,616667	7,619914E-1
0,633333	7,633794E-1
0,650000	7,649703E-1
0,666667	7,668975E-1
0,683333	7,688460E-1
0,700000	7,709227E-1
0,716667	7,731542E-1
0,733333	7,756526E-1
0,750000	7,785247E-1
0,766667	7,821709E-1
0,783333	7,847281E-1
0,800000	7,879365E-1
0,816667	7,904937E-1
0,833333	7,934138E-1
0,850000	7,964781E-1
0,866667	7,993289E-1
0,883333	8,020141E-1
0,900000	8,048649E-1
0,916667	8,074968E-1
0,933333	8,102514E-1
0,950000	8,125043E-1
0,966667	8,149547E-1
0,983333	8,170740E-1
1,000000	8,189639E-1
1,016667	8,206081E-1
1,033333	8,224232E-1
1,050000	8,231760E-1
1,066667	8,238379E-1
1,083333	8,244252E-1
1,100000	8,248683E-1
1,116667	8,250017E-1
1,133333	8,249537E-1
1,150000	8,241529E-1
1,166667	8,234108E-1
1,183333	8,228023E-1
1,200000	8,209925E-1
1,216667	8,200102E-1
1,233333	8,182058E-1
1,250000	8,171381E-1
1,266667	8,140578E-1
1,283333	8,119651E-1
1,300000	8,098511E-1
1,316667	8,069202E-1
1,333333	8,044859E-1
1,350000	8,018914E-1
1,366667	7,990299E-1
1,383333	7,967130E-1
1,400000	7,936220E-1
1,416667	7,909101E-1
1,433333	7,881554E-1
1,450000	7,853794E-1
1,466667	7,831372E-1
1,483333	7,803398E-1
1,500000	7,778681E-1
1,516667	7,752736E-1
1,533333	7,733891E-1
1,550000	7,716701E-1
1,566667	7,697643E-1
1,583333	7,682695E-1
1,600000	7,669082E-1
1,616667	7,658458E-1
1,633333	7,649863E-1
1,650000	7,645058E-1
1,666667	7,643457E-1
1,683333	7,644098E-1
1,700000	7,644898E-1
1,716667	7,649596E-1
1,733333	7,657444E-1
1,750000	7,665452E-1
1,766667	7,673032E-1
1,783333	7,689048E-1
1,800000	7,703729E-1
1,816667	7,723588E-1
1,833333	7,737735E-1
1,850000	7,756847E-1
1,866667	7,781244E-1
1,883333	7,803772E-1
1,900000	7,829931E-1
1,916667	7,852459E-1
1,933333	7,876749E-1
1,950000	7,904403E-1
1,966667	7,926451E-1
1,983333	7,958322E-1
2,000000	7,981170E-1
2,016667	8,004980E-1
2,033333	8,029484E-1
2,050000	8,050304E-1
2,066667	8,077690E-1
2,083333	8,096856E-1
2,100000	8,116074E-1
2,116667	8,136948E-1
2,133333	8,152750E-1
2,150000	8,167164E-1
2,166667	8,178214E-1
2,183333	8,184941E-1
2,200000	8,195992E-1
2,216667	8,198874E-1
2,233333	8,201757E-1
2,250000	8,201010E-1
2,266667	8,198340E-1
2,283333	8,192094E-1
2,300000	8,182485E-1
2,316667	8,176880E-1
2,333333	8,162893E-1
2,350000	8,152536E-1
