date/time: ,31/05/2023,08:24 p.m.
Run 1

time	Velocity 2
0,000000	7,613348E-1
0,016667	7,605874E-1
0,033333	7,595571E-1
0,050000	7,584093E-1
0,066667	7,578701E-1
0,083333	7,569679E-1
0,100000	7,560977E-1
0,116667	7,556813E-1
0,133333	7,555799E-1
0,150000	7,555051E-1
0,166667	7,553023E-1
0,183333	7,554037E-1
0,200000	7,553717E-1
0,216667	7,557614E-1
0,233333	7,560924E-1
0,250000	7,569572E-1
0,266667	7,581744E-1
0,283333	7,583772E-1
0,300000	7,593916E-1
0,316667	7,604326E-1
0,333333	7,615216E-1
0,350000	7,625626E-1
0,366667	7,651571E-1
0,383333	7,664384E-1
0,400000	7,680720E-1
0,416667	7,692891E-1
0,433333	7,710562E-1
0,450000	7,723641E-1
0,466667	7,741418E-1
0,483333	7,758074E-1
0,500000	7,775692E-1
0,516667	7,794003E-1
0,533333	7,809911E-1
0,550000	7,830678E-1
0,566667	7,851338E-1
0,583333	7,866019E-1
0,600000	7,886892E-1
0,616667	7,905898E-1
0,633333	7,921486E-1
0,650000	7,942359E-1
0,666667	7,959710E-1
0,683333	7,976579E-1
0,700000	7,993022E-1
0,716667	8,012721E-1
0,733333	8,029857E-1
0,750000	8,044218E-1
0,766667	8,061782E-1
0,783333	8,074754E-1
0,800000	8,091731E-1
0,816667	8,102888E-1
0,833333	8,118423E-1
0,850000	8,126164E-1
0,866667	8,141325E-1
0,883333	8,151415E-1
0,900000	8,161451E-1
0,916667	8,171808E-1
0,933333	8,180243E-1
0,950000	8,186275E-1
0,966667	8,198554E-1
0,983333	8,199568E-1
1,000000	8,202825E-1
1,016667	8,202825E-1
1,033333	8,202825E-1
1,050000	8,197967E-1
1,066667	8,190706E-1
1,083333	8,183820E-1
1,100000	8,179549E-1
1,116667	8,174317E-1
1,133333	8,167698E-1
1,150000	8,154244E-1
1,166667	8,148105E-1
1,183333	8,134652E-1
1,200000	8,124883E-1
1,216667	8,113512E-1
1,233333	8,098938E-1
1,250000	8,085004E-1
1,266667	8,071231E-1
1,283333	8,056123E-1
1,300000	8,040054E-1
1,316667	8,019554E-1
1,333333	8,007916E-1
1,350000	7,987790E-1
1,366667	7,971454E-1
1,383333	7,956186E-1
1,400000	7,935152E-1
1,416667	7,918069E-1
1,433333	7,901787E-1
1,450000	7,886519E-1
1,466667	7,871785E-1
1,483333	7,851765E-1
1,500000	7,838045E-1
1,516667	7,818773E-1
1,533333	7,805801E-1
1,550000	7,791333E-1
1,566667	7,774944E-1
1,583333	7,764587E-1
1,600000	7,751081E-1
1,616667	7,736293E-1
1,633333	7,726631E-1
1,650000	7,715740E-1
1,666667	7,704796E-1
1,683333	7,697963E-1
1,700000	7,690916E-1
1,716667	7,683816E-1
1,733333	7,676182E-1
1,750000	7,673940E-1
1,766667	7,671484E-1
1,783333	7,667800E-1
1,800000	7,668708E-1
1,816667	7,666840E-1
1,833333	7,666679E-1
1,850000	7,667907E-1
1,866667	7,670470E-1
1,883333	7,671591E-1
1,900000	7,677623E-1
1,916667	7,681360E-1
1,933333	7,686859E-1
1,950000	7,692037E-1
1,966667	7,697803E-1
1,983333	7,706131E-1
2,000000	7,714886E-1
2,016667	7,714886E-1
2,033333	7,714886E-1
2,050000	7,746063E-1
2,066667	7,753804E-1
2,083333	7,766296E-1
2,100000	7,766296E-1
2,116667	7,766296E-1
2,133333	7,802651E-1
2,150000	7,814929E-1
2,166667	7,826834E-1
2,183333	7,826834E-1
2,200000	7,826834E-1
2,216667	7,871144E-1
2,233333	7,882995E-1
2,250000	7,895754E-1
2,266667	7,909207E-1
2,283333	7,924636E-1
2,300000	7,937982E-1
2,316667	7,950794E-1
2,333333	7,963660E-1
2,350000	7,974871E-1
2,366667	7,993823E-1
2,383333	8,002524E-1
2,400000	8,017045E-1
2,416667	8,027829E-1
2,433333	8,037812E-1
2,450000	8,049343E-1
2,466667	8,059646E-1
2,483333	8,069309E-1
2,500000	8,076516E-1
2,516667	8,085271E-1
2,533333	8,092318E-1
2,550000	8,097656E-1
2,566667	8,102514E-1
2,583333	8,103102E-1
2,600000	8,110576E-1
2,616667	8,112177E-1
2,633333	8,114473E-1
2,650000	8,113619E-1
2,666667	8,114152E-1
2,683333	8,111750E-1
2,700000	8,109134E-1
2,716667	8,105984E-1
2,733333	8,105984E-1
2,750000	8,105984E-1
2,766667	8,094293E-1
2,783333	8,090183E-1
2,800000	8,082442E-1
2,816667	8,075555E-1
2,833333	8,070644E-1
2,850000	8,063597E-1
2,866667	8,051051E-1
2,883333	8,044218E-1
2,900000	8,036317E-1
2,916667	8,027775E-1
2,933333	8,017846E-1
2,950000	8,003645E-1
2,966667	7,993449E-1
2,983333	7,984320E-1
3,000000	7,973696E-1
3,016667	7,964728E-1
3,033333	7,964728E-1
3,050000	7,964728E-1
3,066667	7,929654E-1
3,083333	7,918123E-1
3,100000	7,910916E-1
3,116667	7,897089E-1
3,133333	7,887213E-1
3,150000	7,875788E-1
3,166667	7,862923E-1
3,183333	7,854114E-1
3,200000	7,847014E-1
3,216667	7,837138E-1
3,233333	7,827902E-1
3,250000	7,817118E-1
3,266667	7,808683E-1
3,283333	7,802704E-1
3,300000	7,794697E-1
3,316667	7,787917E-1
3,333333	7,782632E-1
3,350000	7,777774E-1
3,366667	7,774624E-1
3,383333	7,767577E-1
3,400000	7,766082E-1
3,416667	7,763520E-1
3,433333	7,759462E-1
3,450000	7,759996E-1
3,466667	7,759142E-1
3,483333	7,760637E-1
3,500000	7,760637E-1
3,516667	7,760637E-1
3,533333	7,763733E-1
3,550000	7,769979E-1
3,566667	7,770460E-1
3,583333	7,774998E-1
3,600000	7,779589E-1
3,616667	7,781457E-1
3,633333	7,789465E-1
3,650000	7,793949E-1
3,666667	7,799822E-1
3,683333	7,806815E-1
3,700000	7,812847E-1
3,716667	7,821603E-1
3,733333	7,826781E-1
3,750000	7,835589E-1
3,766667	7,842156E-1
3,783333	7,849737E-1
3,800000	7,858919E-1
3,816667	7,869222E-1
3,833333	7,877657E-1
3,850000	7,885504E-1
3,866667	7,894420E-1
3,883333	7,904510E-1
3,900000	7,910008E-1
3,916667	7,921272E-1
3,933333	7,929494E-1
