date/time: ,31/05/2023,08:19 p.m.
Run 1

time	Velocity 2
0,000000	8,096055E-1
0,016667	8,072085E-1
0,033333	8,039680E-1
0,050000	8,013415E-1
0,066667	7,983413E-1
0,083333	7,957414E-1
0,100000	7,928853E-1
0,116667	7,899118E-1
0,133333	7,872212E-1
0,150000	7,845092E-1
0,166667	7,812954E-1
0,183333	7,790372E-1
0,200000	7,764000E-1
0,216667	7,742379E-1
0,233333	7,720652E-1
0,250000	7,696842E-1
0,266667	7,676769E-1
0,283333	7,659686E-1
0,300000	7,643991E-1
0,316667	7,629897E-1
0,333333	7,616604E-1
0,350000	7,600909E-1
0,366667	7,592688E-1
0,383333	7,583719E-1
0,400000	7,576405E-1
0,416667	7,572295E-1
0,433333	7,572401E-1
0,450000	7,572668E-1
0,466667	7,573576E-1
0,483333	7,579769E-1
0,500000	7,588684E-1
0,516667	7,597065E-1
0,533333	7,607636E-1
0,550000	7,618152E-1
0,566667	7,631018E-1
0,583333	7,645058E-1
0,600000	7,665291E-1
0,616667	7,684830E-1
0,633333	7,700899E-1
0,650000	7,729193E-1
0,666667	7,757060E-1
0,683333	7,779108E-1
0,700000	7,806121E-1
0,716667	7,832280E-1
0,733333	7,858171E-1
0,750000	7,882141E-1
0,766667	7,914439E-1
0,783333	7,943214E-1
0,800000	7,970707E-1
0,816667	7,995157E-1
0,833333	8,026815E-1
0,850000	8,048275E-1
0,866667	8,079025E-1
0,883333	8,102568E-1
0,900000	8,131022E-1
0,916667	8,158409E-1
0,933333	8,174371E-1
0,950000	8,188785E-1
0,966667	8,201597E-1
0,983333	8,214249E-1
1,000000	8,226528E-1
1,016667	8,232934E-1
1,033333	8,237045E-1
1,050000	8,245746E-1
1,066667	8,249430E-1
1,083333	8,246227E-1
1,100000	8,242864E-1
1,116667	8,235924E-1
1,133333	8,228823E-1
1,150000	8,219534E-1
1,166667	8,206615E-1
1,183333	8,194070E-1
1,200000	8,179442E-1
1,216667	8,160544E-1
1,233333	8,145970E-1
1,250000	8,123441E-1
1,266667	8,104116E-1
1,283333	8,081427E-1
1,300000	8,061408E-1
1,316667	8,040374E-1
1,333333	8,013522E-1
1,350000	7,991260E-1
1,366667	7,964514E-1
1,383333	7,940811E-1
1,400000	7,917482E-1
1,416667	7,888921E-1
1,433333	7,868688E-1
1,450000	7,843597E-1
1,466667	7,823578E-1
1,483333	7,802064E-1
1,500000	7,783646E-1
1,516667	7,766029E-1
1,533333	7,743020E-1
1,550000	7,725563E-1
1,566667	7,710348E-1
1,583333	7,699031E-1
1,600000	7,687339E-1
1,616667	7,673246E-1
1,633333	7,663370E-1
1,650000	7,656376E-1
1,666667	7,652853E-1
1,683333	7,647087E-1
1,700000	7,646927E-1
1,716667	7,645966E-1
1,733333	7,649009E-1
1,750000	7,653547E-1
1,766667	7,659579E-1
1,783333	7,666146E-1
1,800000	7,676823E-1
1,816667	7,686485E-1
1,833333	7,699404E-1
1,850000	7,710669E-1
1,866667	7,721079E-1
1,883333	7,738642E-1
1,900000	7,753590E-1
1,916667	7,753590E-1
1,933333	7,753590E-1
1,950000	7,810338E-1
1,966667	7,836977E-1
1,983333	7,856036E-1
2,000000	7,879045E-1
2,016667	7,900132E-1
2,033333	7,917215E-1
2,050000	7,944815E-1
2,066667	7,965742E-1
2,083333	7,986829E-1
2,100000	8,004873E-1
2,116667	8,024092E-1
2,133333	8,046407E-1
2,150000	8,063917E-1
2,166667	8,080894E-1
2,183333	8,098938E-1
2,200000	8,110842E-1
2,216667	8,125417E-1
2,233333	8,139190E-1
2,250000	8,150241E-1
2,266667	8,157394E-1
2,283333	8,164815E-1
2,300000	8,171701E-1
2,316667	8,175492E-1
2,333333	8,178748E-1
2,350000	8,176933E-1
2,366667	8,176613E-1
2,383333	8,172449E-1
2,400000	8,169459E-1
2,416667	8,161558E-1
2,433333	8,153017E-1
2,450000	8,146771E-1
2,466667	8,132624E-1
2,483333	8,122000E-1
2,500000	8,107800E-1
2,516667	8,096001E-1
2,533333	8,081641E-1
2,550000	8,065358E-1
2,566667	8,047528E-1
2,583333	8,030498E-1
2,600000	8,011440E-1
2,616667	7,994890E-1
2,633333	7,970547E-1
2,650000	7,954371E-1
2,666667	7,935206E-1
2,683333	7,919511E-1
2,700000	7,901894E-1
2,716667	7,879739E-1
2,733333	7,864631E-1
2,750000	7,847121E-1
2,766667	7,830785E-1
2,783333	7,815890E-1
2,800000	7,800569E-1
2,816667	7,787063E-1
2,833333	7,772061E-1
2,850000	7,761064E-1
2,866667	7,752309E-1
2,883333	7,744194E-1
2,900000	7,735706E-1
2,916667	7,726898E-1
2,933333	7,723214E-1
2,950000	7,720438E-1
2,966667	7,717982E-1
2,983333	7,717449E-1
3,000000	7,720118E-1
3,016667	7,723107E-1
3,033333	7,725883E-1
3,050000	7,731115E-1
3,066667	7,735599E-1
3,083333	7,744301E-1
3,100000	7,751562E-1
3,116667	7,760797E-1
3,133333	7,774517E-1
3,150000	7,783806E-1
3,166667	7,798327E-1
3,183333	7,811139E-1
3,200000	7,822457E-1
3,216667	7,838366E-1
3,233333	7,854648E-1
3,250000	7,871571E-1
3,266667	7,884490E-1
3,283333	7,898530E-1
3,300000	7,918229E-1
3,316667	7,933978E-1
3,333333	7,953143E-1
3,350000	7,966489E-1
3,366667	7,981864E-1
3,383333	7,997186E-1
3,400000	8,013255E-1
3,416667	8,026921E-1
3,433333	8,038986E-1
3,450000	8,049343E-1
3,466667	8,064985E-1
3,483333	8,073473E-1
3,500000	8,083616E-1
3,516667	8,090823E-1
3,533333	8,100646E-1
3,550000	8,105130E-1
3,566667	8,108120E-1
3,583333	8,114419E-1
3,600000	8,114579E-1
3,616667	8,116608E-1
3,633333	8,113725E-1
3,650000	8,113405E-1
3,666667	8,109027E-1
3,683333	8,102621E-1
3,700000	8,100272E-1
3,716667	8,107800E-1
3,733333	8,084897E-1
3,750000	8,075875E-1
3,766667	8,082068E-1
3,783333	8,058846E-1
3,800000	8,047047E-1
3,816667	8,036370E-1
3,833333	8,025480E-1
3,850000	8,012668E-1
3,866667	8,001510E-1
3,883333	7,984213E-1
3,900000	7,972842E-1
3,916667	7,961898E-1
3,933333	7,946951E-1
3,950000	7,936167E-1
3,966667	7,919884E-1
3,983333	7,909848E-1
4,000000	7,897409E-1
4,016667	7,885558E-1
4,033333	7,872318E-1
4,050000	7,863029E-1
4,066667	7,848188E-1
4,083333	7,838472E-1
4,100000	7,827208E-1
4,116667	7,818987E-1
4,133333	7,811406E-1
4,150000	7,805320E-1
4,166667	7,797366E-1
4,183333	7,793522E-1
4,200000	7,789572E-1
4,216667	7,786102E-1
4,233333	7,783753E-1
4,250000	7,782578E-1
4,266667	7,782525E-1
4,283333	7,783753E-1
4,300000	7,785621E-1
4,316667	7,792187E-1
